,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
19,388037.17810300004,6692937.380735,-1743.0546969999998,0.6505501263213854,0.6289547055894923,0.5225870122780223,Permian,Sedimentary_Series,13,9,2e-06
20,364190.685794,6658076.177701,-10068.796105,0.4720210011379634,0.3679628582412491,0.4602555250801066,Permian,Sedimentary_Series,13,9,2e-06
21,370581.83445900003,6660081.017671,-10125.561104999999,0.5198689682643075,0.38297229113137643,0.45983054828856346,Permian,Sedimentary_Series,13,9,2e-06
22,381550.826391,6662549.88618,-9355.525104999999,0.6019894121597346,0.4014557196118975,0.46559549902674213,Permian,Sedimentary_Series,13,9,2e-06
23,337765.19285700005,6650305.529894,-4569.541104999999,0.2741839324633913,0.30978713423471926,0.5014262419968257,Permian,Sedimentary_Series,13,9,2e-06
24,339365.91031300003,6650910.6838879995,-4515.072104999999,0.2861678621492535,0.31431767951366685,0.5018340295570928,Permian,Sedimentary_Series,13,9,2e-06
25,348604.615926,6653186.982113,-6537.306105,0.3553343462402304,0.3313594115009134,0.48669437453957415,Permian,Sedimentary_Series,13,9,2e-06
26,350975.088988,6653930.57601,-6662.921104999999,0.3730811274668348,0.33692640081753633,0.48575394540772016,Permian,Sedimentary_Series,13,9,2e-06
27,396667.948468,6663051.137387999,939.4658949999999,0.7151652430000303,0.40520838639834195,0.5426699682268739,Permian,Sedimentary_Series,13,9,2e-06
28,398260.11646,6663103.930249,979.291895,0.7270851662773639,0.405603625378073,0.5429681295181625,Permian,Sedimentary_Series,13,9,2e-06
29,387143.811652,6662735.337525,-5879.938104999999,0.6438618499535835,0.40284411946365906,0.491615825142994,Permian,Sedimentary_Series,13,9,2e-06
30,389318.881298,6662807.45815,-5938.7561049999995,0.6601457241637473,0.40338405766178775,0.49117547836372893,Permian,Sedimentary_Series,13,9,2e-06
