,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
654,125.78703300000001,51.725029,-124.02,0.47096610479013745,0.3154704357468664,0.504043641538577,0.744901,-0.6657069999999999,-0.044232,92.53513403032977,131.78668791450215,1,0,Default series,1,1,0.01
656,212.0,50.0,-111.02,0.5791769413168693,0.31330525297194955,0.5203606866861765,-0.22348,-0.391604,-0.892582,153.19951476989348,209.71247543337964,1,0,Default series,1,1,0.01
661,238.0,35.354198,-88.0,0.6118110316120684,0.29492246739834926,0.5492544081706182,0.964042,-0.173328,0.201445,78.3785285729118,100.1924851022447,1,0,Default series,1,1,0.01
664,236.319473,139.28566,-109.7,0.6097017058481637,0.42537280260681315,0.5220174943473174,-0.054462,-0.9273889999999999,0.370113,68.27741354706363,183.36090133319422,1,0,Default series,1,1,0.01
667,203.951874,46.0,-128.0,0.5690752770633638,0.3082846236957651,0.49904811540877336,0.35885900000000004,-0.726595,0.585901,54.13333293782565,153.71563139058665,1,0,Default series,1,1,0.01
671,214.0,32.0,-81.2703,0.5816872559549615,0.2907124212291194,0.557701240380603,-0.469613,-0.295209,0.8320549999999999,33.68958146828839,237.84563351026299,1,0,Default series,1,1,0.01
678,77.984749,319.92776499999997,-136.833,0.41096671816041613,0.6521070628254612,0.487961310809639,0.35925100000000004,0.176732,0.9163540000000001,23.601249296368394,63.80531685830534,1,0,Default series,1,1,0.01
685,240.0,52.0,-95.084,0.6143213462501607,0.3158155676100418,0.5403628737224955,0.603486,0.464916,0.647809,49.623387169792096,52.3899166721831,1,0,Default series,1,1,0.01
687,189.724625,81.990143,-138.001,0.5512178413511222,0.35345791509573166,0.4864952870609931,0.7377090000000001,0.669271,-0.088665,95.08681017448305,47.78477333434669,1,0,Default series,1,1,0.01
689,20.0,178.0,-165.37900000000002,0.3381867360600138,0.4739653898098532,0.45213158998014835,0.223822,-0.125219,0.9665530000000001,14.860526429916312,119.22517860622665,1,0,Default series,1,1,0.01
691,62.74463299999999,37.696125,-154.023,0.39183797501990425,0.297861954213071,0.46638515649523615,-0.931736,-0.343065,0.119058,83.1622597866497,249.78630365403478,1,0,Default series,1,1,0.01
696,266.0,10.0,-155.082,0.6469554365453598,0.2630989602101047,0.4650559448943663,-0.12905999999999998,0.1079,0.985749,9.684504694384831,309.8971493688822,1,0,Default series,1,1,0.01
698,242.064285,182.611725,-129.216,0.6169123486765078,0.47975383019703116,0.4975218441088133,-0.218216,0.870367,0.44141099999999994,63.80605680982612,345.9250863268017,1,0,Default series,1,1,0.01
705,193.99856599999998,119.993202,-99.0991,0.5565823096784435,0.40115773274572325,0.5353232915707934,-0.0036439999999999997,-0.700282,0.713857,44.45039568594968,180.29814265695896,1,0,Default series,1,1,0.01
