,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
146,240.0,26.06835,-158.0,0.6143213462501607,0.2832672673175995,0.4613933958373897,0,Default series,1,1,2e-06
148,184.167587,105.967506,-114.00200000000001,0.5442428844332048,0.3835532777566073,0.516617807560781,0,Default series,1,1,2e-06
150,168.02839699999998,227.705505,-146.231,0.5239856619812288,0.5363536182074867,0.47616534232524355,0,Default series,1,1,2e-06
151,245.984573,185.396576,-131.965,0.6218329268524765,0.4832492563121341,0.4940714166387555,0,Default series,1,1,2e-06
152,292.205048,94.0,-120.0,0.6798468943385148,0.3685321750099789,0.5090893739611424,0,Default series,1,1,2e-06
154,57.966933999999995,159.028671,-122.012,0.3858412111518549,0.45015338736347127,0.5065639974352215,0,Default series,1,1,2e-06
155,177.987335,125.940025,-103.48299999999999,0.5364856959018554,0.40862193115924506,0.5298208073998272,0,Default series,1,1,2e-06
156,137.95491,381.786469,-153.035,0.4862387046639404,0.7297494678977688,0.4676252519264537,0,Default series,1,1,2e-06
157,131.82389799999999,145.656479,-124.025,0.4785433200789808,0.43336918270298125,0.5040373657519817,0,Default series,1,1,2e-06
159,284.0,380.0,-154.715,0.66954826828819,0.7275071682571698,0.4655165876304562,0,Default series,1,1,2e-06
160,216.0,56.0,-122.044,0.5841975705930538,0.32083619688622633,0.5065238324010121,0,Default series,1,1,2e-06
161,58.7948,61.72825600000001,-148.02,0.38688031322094435,0.3280260593299962,0.47391986588147,0,Default series,1,1,2e-06
162,179.37077299999999,103.949242,-146.004,0.5382221282330019,0.38102003892524006,0.476450263036667,0,Default series,1,1,2e-06
163,153.97036699999998,83.19558,-112.01,0.5063406227353588,0.35497092816893067,0.5191180809403209,0,Default series,1,1,2e-06
164,220.98467999999997,128.357697,-122.262,0.5904541281781565,0.41165648986509795,0.5062502081054601,0,Default series,1,1,2e-06
165,109.942604,23.449234,-166.02,0.4510788537646808,0.27997986470076863,0.45132703413863984,0,Default series,1,1,2e-06
166,284.0,87.03196700000001,-144.0,0.66954826828819,0.3597861973906741,0.4789655983040354,0,Default series,1,1,2e-06
167,169.978607,127.89866599999999,-105.76899999999999,0.5264334823364057,0.41108033374577885,0.5269515177684877,0,Default series,1,1,2e-06
168,284.0,396.0,-159.263,0.66954826828819,0.7475896853619077,0.45980813214343447,0,Default series,1,1,2e-06
170,171.971008,148.913055,-120.01,0.5289342590340306,0.4374566979044112,0.5090768223879519,0,Default series,1,1,2e-06
172,230.0,12.407278,-102.0,0.6017697730596994,0.26612047281078344,0.5316822057039725,0,Default series,1,1,2e-06
174,208.89428700000002,24.0,-116.0,0.5752787829140625,0.2806711626767504,0.5141100032373268,0,Default series,1,1,2e-06
175,169.99408,31.971977000000003,-154.83700000000002,0.5264529033856034,0.2906772479555678,0.4653634584375326,0,Default series,1,1,2e-06
176,45.970448,87.860023,-161.665,0.3707837339461206,0.3608255379396541,0.4567932442630857,0,Default series,1,1,2e-06
177,32.739956,1.7962759999999998,-148.015,0.35417738507773944,0.2528019959880704,0.47392614166806524,0,Default series,1,1,2e-06
178,288.0,68.0,-152.995,0.6745688975643744,0.3358980847147798,0.4676754582192155,0,Default series,1,1,2e-06
179,67.946579,123.73131599999999,-122.01899999999999,0.3983672356150869,0.405849653892252,0.5065552113339883,0,Default series,1,1,2e-06
180,149.963745,101.009689,-158.013,0.5013116818074076,0.377330437462566,0.4613770787922421,0,Default series,1,1,2e-06
181,186.445007,63.993435,-118.0,0.5471014048147468,0.3308692153307958,0.5115996885992345,0,Default series,1,1,2e-06
182,187.95369,307.78067000000004,-98.56,0.5489950393243173,0.6368605476310627,0.5359999468814912,0,Default series,1,1,2e-06
184,236.0,36.0,-117.223,0.6093007169739761,0.29573305050530385,0.5125749458361334,0,Default series,1,1,2e-06
187,259.519043,340.0,-108.0,0.6388208159323866,0.6773008754953249,0.5241512617896958,0,Default series,1,1,2e-06
188,31.972775,19.871052,-171.31799999999998,0.35321445223055625,0.27548868337458954,0.4446772106623335,0,Default series,1,1,2e-06
189,232.0,76.0,-114.859,0.6042800876977916,0.34593934326714876,0.5155421377383584,0,Default series,1,1,2e-06
190,67.099014,55.673676,-138.024,0.3973034082019696,0.3204266089292459,0.48646641844265504,0,Default series,1,1,2e-06
192,133.95791599999998,98.671654,-170.015,0.48122184839065696,0.37439583572013,0.4463126806490506,0,Default series,1,1,2e-06
193,39.973862,69.876198,-165.048,0.363257075138931,0.33825300836645944,0.45254704705275267,0,Default series,1,1,2e-06
194,171.988022,73.943283,-145.77700000000002,0.5289556142806568,0.3433578398713922,0.47673518374809043,0,Default series,1,1,2e-06
195,110.62602199999999,135.63781699999998,-116.027,0.4519366508693487,0.42079418576663197,0.5140761139897125,0,Default series,1,1,2e-06
196,34.0,372.0,-141.308,0.3557589385266595,0.7174659097048008,0.4823444818069076,0,Default series,1,1,2e-06
197,159.121521,127.843719,-106.012,0.5128061313799925,0.41101136661656923,0.5266465145399595,0,Default series,1,1,2e-06
198,236.68339500000002,212.000015,-152.0,0.6101584852100257,0.5166407574847811,0.4689243397516665,0,Default series,1,1,2e-06
199,119.941879,47.463661,-158.02,0.46362951696608573,0.3101217485125175,0.46136829269100876,0,Default series,1,1,2e-06
200,270.0,194.0,-133.043,0.6519760658215443,0.49404790691459116,0.4927183570488238,0,Default series,1,1,2e-06
204,107.93927,79.712379,-103.04700000000001,0.44856435443208686,0.35059896294007187,0.5303680559909313,0,Default series,1,1,2e-06
206,5.057555000000001,57.982597,-132.001,0.3194316168538197,0.3233246680214952,0.4940262309752698,0,Default series,1,1,2e-06
207,111.945724,23.74295,-109.363,0.4535930844936085,0.2803485244878896,0.522440482363836,0,Default series,1,1,2e-06
208,232.335922,132.0,-144.0,0.6047017226547203,0.41622815313373157,0.4789655983040354,0,Default series,1,1,2e-06
209,6.0,130.0,-159.333,0.3206145335933681,0.41371783849563937,0.45972027113110125,0,Default series,1,1,2e-06
210,113.181114,25.734537,-112.02,0.45514369329398485,0.2828482794874567,0.5191055293671304,0,Default series,1,1,2e-06
211,99.491272,5.657376999999999,-152.025,0.4379607879110999,0.2576482851677967,0.4688929608186903,0,Default series,1,1,2e-06
212,199.999405,133.99708600000002,-97.598,0.564114306669711,0.41873481024339615,0.5372074082224135,0,Default series,1,1,2e-06
214,71.929375,27.665504,-156.849,0.40336627116475454,0.2852719468503433,0.4628380819116118,0,Default series,1,1,2e-06
215,216.56619300000003,52.0,-84.0,0.5849082318809964,0.3158155676100418,0.5542750374468027,0,Default series,1,1,2e-06
216,292.0,193.662125,-154.0,0.679589526840559,0.49362382063541843,0.4664140251135742,0,Default series,1,1,2e-06
218,7.182063,63.995464,-100.0,0.32209820861939176,0.33087176204499613,0.5341925203420648,0,Default series,1,1,2e-06
219,1.999141,61.995934,-162.874,0.3155928261370466,0.3283620373308438,0.4552757590643589,0,Default series,1,1,2e-06
220,87.987267,369.939697,-140.05700000000002,0.42352145183700673,0.7148799053148982,0.48391468361303425,0,Default series,1,1,2e-06
221,21.971642000000003,1.164564,-156.01,0.34066145694685257,0.25200909804774113,0.4638911589022915,0,Default series,1,1,2e-06
222,216.0,76.0,-109.45700000000001,0.5841975705930538,0.34593934326714876,0.5223224975758456,0,Default series,1,1,2e-06
223,39.966034,41.839123,-164.27700000000002,0.3632472497674376,0.30306206847556444,0.4535147733457372,0,Default series,1,1,2e-06
